"mID","modelName","cond","group","looic","looicSE","treedepth","energy","div","pareto_dist","pareto_vals"
"643220826161449","m1_RL_sliced2_halfStudentT_reparam_confEs_norm_LVLS","LVLS","All","15927.3240365856","314.049829834117","0","FALSE","0","0, 0, 10, 17","0.821714877194185, 1.10168359745707, 1.24469274570904, 1.03113165871162, 0.938009421606942, 1.29032456761978, 1.04692947101342, 1.13137035318658, 1.05349032454474, 1.02835890296974, 0.983062644905097, 0.972156669969291, 1.08152902341586, 0.967452388491426, 1.09399925319146, 0.949591621784304, 1.45099663179323, 1.15157403980732, 3.35993941106, 1.27843088126531, 0.865193628658624, 1.05295201650169, 1.09304628810081, 0.971802052173198, 1.05098637107667, 0.878794504207862, 0.972627374430722"
"495220826161449","m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm_LVLS","LVLS","All","16045.1216127923","319.074288594277","0","FALSE","0","0, 0, 16, 11","0.757484054950601, 1.01516093327937, 1.1355101138739, 0.971226712845556, 1.1420455598521, 0.965154999075774, 1.00085548272807, 1.75853305428829, 1.02453675197187, 1.01699750821051, 0.875103348280871, 1.0044991584588, 0.918766148421345, 0.892961012230217, 0.916355045143113, 0.851715441183253, 1.0958087424444, 0.968989593515027, 0.779821010084254, 0.8642770242918, 0.912515265716541, 0.962450562355066, 0.945446136293617, 1.02347225759077, 0.921597715961403, 0.9977118685845, 1.11166387940919"
"619220826161449","m2_KF_sliced2_halfStudentT_reparam_confEs_norm_LVLS","LVLS","All","15904.780370184","313.027885770723","0","FALSE","0","0, 0, 6, 21","1.0117397975128, 1.07054494039333, 1.15813880005525, 1.17209389839299, 1.07871430226582, 1.21103028005543, 1.23560187195566, 1.30198242365213, 0.817258083154176, 0.94807490986705, 0.935300126662081, 0.819264016239022, 1.06201607385524, 0.962109877600212, 1.04879216976734, 1.1798528985002, 1.41086875594542, 1.09203158441311, 2.44352431708037, 1.02820770919008, 1.04646634378357, 1.26010764636668, 1.09556669336539, 1.13937332623867, 1.18479007547033, 0.978586039896358, 1.00940186151998"
"843220826161449","m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm_LVLS","LVLS","All","16052.6522605392","325.260756160936","0","FALSE","0","0, 0, 17, 10","0.920964397119473, 0.888829689509889, 1.11501642729848, 1.1885200459165, 0.922039221682745, 0.862609874936923, 0.926680433281483, 0.958531880369284, 0.978199061244937, 0.872681490819914, 0.977785914264587, 0.989614595890672, 1.00051598166512, 0.976263260390378, 1.01126359227184, 1.00561294074451, 1.06908636057236, 0.909923797992137, 0.943853681867304, 1.07777947081021, 0.988224386446154, 0.967385421369791, 0.954466760159568, 1.01172350850565, 1.00323566746339, 1.11695363910143, 0.946231442807544"
"264220826161449","m4_C_sliced2_halfStudentT_reparam_confEs_norm_LVLS","LVLS","All","17708.9450922659","261.515176668689","0.0291666666666667","FALSE","0","0, 0, 11, 16","1.17353142458537, 0.904377703255044, 0.875116607317743, 1.01086980291687, 1.09893929628477, 0.968176464955405, 1.09862226792372, 1.05044253898278, 1.04827301463407, 0.812714828191544, 0.946693305823644, 0.927930304962541, 1.07828090616154, 1.14812027079123, 1.05244360321122, 1.19943287920748, 0.915960913792603, 1.01956020931743, 0.869720661887778, 1.15263754896575, 1.1166985635476, 0.938129472730144, 0.923081161859307, 0.965745282913898, 1.14436170586833, 1.10513424736159, 1.0875079889304"
"400220826161449","m1_RL_sliced2_halfStudentT_reparam_confEs_norm_LVHS","LVHS","All","16013.6142367988","300.643082018505","0","FALSE","0","0, 0, 6, 21","1.06663896669065, 1.08830606244687, 1.18562365276818, 1.26137558872593, 1.04479334912323, 0.89642121649383, 1.18461305032723, 1.03344994866521, 1.13196601681296, 0.963992081431714, 1.31616206633465, 0.886738160156824, 1.11585943980919, 1.11577264520832, 1.0158762474157, 0.986981593358297, 0.870907307110942, 1.01367229162013, 1.03689048844825, 1.10678913778151, 1.1373268447149, 1.02649347243, 1.14923507486617, 1.09736892460316, 1.12144970140391, 0.976550120757202, 1.18464103879371"
"791220826161449","m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm_LVHS","LVHS","All","16288.5034838525","286.978554446463","0","FALSE","0","0, 0, 14, 13","0.860518831884117, 1.08342143700873, 2.1445108681902, 1.63658940435822, 0.985835159167802, 0.993278403503729, 1.14986869247892, 0.845808737128105, 1.17124567707765, 1.10736351681438, 1.02796982060377, 1.01409105818074, 0.912175284693058, 1.01470228952914, 1.12574795015882, 1.11398423666269, 0.920238652630651, 0.846940596553788, 1.00682089068417, 0.852315414874144, 0.905920801758036, 0.909393842285223, 1.29252854253598, 0.933172112165651, 0.85897191932105, 0.840842090950418, 0.770172965546386"
"420220826161449","m2_KF_sliced2_halfStudentT_reparam_confEs_norm_LVHS","LVHS","All","15990.1045444075","300.33531260641","0","FALSE","0","0, 1, 10, 16","1.03431382524627, 1.2088249201299, 1.15045719987602, 1.26089865176593, 0.96873032191727, 1.11176799808355, 1.24219519877319, 0.691330957656949, 0.977474782280335, 0.936630173978865, 1.17718192843571, 1.46090379387426, 0.847916523489983, 0.951293874758534, 0.874433364500449, 1.13769950760211, 0.871379262052323, 0.847297154973798, 0.741817917873799, 1.24969389999635, 1.13509738599657, 1.13998543983587, 1.21428874624807, 1.09817292987371, 0.828990940603903, 1.12765061025818, 1.05344651578122"
"519220826161449","m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm_LVHS","LVHS","All","16309.9723329846","290.857185470879","0","FALSE","0","0, 0, 9, 18","1.10471808351632, 1.08602464024424, 1.64815586063485, 1.51783048890936, 1.08164093323778, 1.15302830906045, 1.04559471093598, 1.06270823848761, 1.06660190557331, 0.839765581142955, 1.23376126492871, 0.931152263223575, 0.82421727568212, 1.17601780085465, 1.04360209377082, 1.12738598334569, 1.03490304552021, 1.06050742882805, 0.936357825378751, 1.20204086020629, 0.993030102166033, 0.978120898323229, 3.36190959391307, 0.880339443866428, 0.99091531220696, 0.848373465964296, 1.03742566943234"
"260220826161449","m4_C_sliced2_halfStudentT_reparam_confEs_norm_LVHS","LVHS","All","17651.2234870766","274.097014946022","0.0208333333333333","FALSE","0","0, 0, 11, 16","0.921419753784135, 0.913224511648149, 1.12880208874185, 1.07731702637092, 1.07771689545623, 0.8425916219079, 1.03368713742495, 1.03954819440377, 0.825488709100482, 0.996894253453508, 0.993884165257745, 1.14023152179788, 0.779960420234704, 0.862149626244256, 1.02836708490082, 1.05946225549422, 1.14147588710573, 0.895813205915326, 1.05104027486245, 1.03965726220023, 0.916013006361269, 1.07687388819832, 1.0466837438665, 1.06496665899631, 0.988200588176222, 1.00269360165164, 1.03593698778008"
"183220826161449","m1_RL_sliced2_halfStudentT_reparam_confEs_norm_HVLS","HVLS","All","15716.9503877531","266.782025111704","0","FALSE","0","0, 0, 14, 13","0.872978770754994, 1.1285215528827, 2.55550021201186, 1.33869907464157, 0.950534865066064, 0.791319687781266, 1.27608008293915, 0.934291728188814, 1.07605080342189, 1.14386823614962, 0.959625725761084, 0.983684774607229, 1.2232638540805, 0.910907046548157, 1.25067017172124, 1.0989086960149, 0.924872232491763, 1.16302282868128, 0.811178347474022, 0.827302930166399, 0.980254788386955, 1.15033198968286, 0.948559515250302, 0.952964353504888, 1.1166372577227, 1.04611128522814, 0.976067207754315"
"517220826161449","m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm_HVLS","HVLS","All","15945.2705485147","260.367659090096","0","FALSE","0","0, 0, 14, 13","0.85588189917015, 1.03767928760623, 1.15178764013528, 1.15214781698879, 1.09555295986249, 0.868415861399681, 0.922132836143086, 0.852969183246663, 0.983644579632327, 0.867611326569742, 0.91343275345545, 0.922745875351703, 0.873124959187461, 0.96983961704348, 1.00234902264035, 1.0932719695797, 1.01072856836355, 0.999090573775275, 0.913701060022572, 1.0401029621201, 1.20799000344577, 1.03951834360891, 0.905466541352603, 1.04023684588865, 1.1438628086704, 1.04647811590686, 0.979865768858751"
