"modelName","parName","condDiff","L_HDI","U_HDI"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","LVLS-LVHS","-2.67620272141305","0.651903925713841"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_alpha","LVLS-LVHS","-0.513634599368331","0.444436430198469"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_gam","LVLS-LVHS","-3.1370165512594","3.84133717453238"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVLS-LVHS","-27.7922551117024","70.1418667548111"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVLS-LVHS","-12.2513955550881","27.1400136411812"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","LVLS-LVHS","-0.992331251747827","0.852655327594882"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_alpha","LVLS-LVHS","-3.81078328251859","3.54872764203071"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","LVLS-LVHS","-54.4257736179563","54.2567028261457"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","LVLS-LVHS","-40.0442704823178","35.0683914227083"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eps","LVLS-LVHS","-1.54983909904438","1.90449437034487"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_psi","LVLS-LVHS","-1.34429256312922","1.55051678128077"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVLS-LVHS","-3.47666606513333","5.05482644898339"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_xi","LVLS-LVHS","-3.10881476218942","3.76106008997852"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","LVLS-LVHS","-17.3586158638482","33.7312390972054"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_w0","LVLS-LVHS","-0.280285148339708","1.17261110624312"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVLS-LVHS","-13.1966878450348","25.0347329411719"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_psi","LVLS-LVHS","-4.73043289902516","3.10340053039245"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","LVLS-LVHS","-5.42223762108631","5.25533924894912"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_xi","LVLS-LVHS","-3.65141325171656","3.83840184895875"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","LVLS-LVHS","-30.0250031018888","44.2277538673578"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_w0","LVLS-LVHS","-1.31163263537624","1.5660483891572"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","LVLS-LVHS","-39.5685128300562","34.7492914307034"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVLS-LVHS","-5.4128004381276","5.62725125974822"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_C","LVLS-LVHS","-14.8076815308359","14.0725790525567"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVLS-LVHS","-79.8450848078747","97.4098458528582"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","LVLS-HVLS","-1.02533116156164","2.14115887505273"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_alpha","LVLS-HVLS","-1.41717487851321","0.32875100840794"
