"modelName","RMSE_norm","RMSE_norm_rate","RMSE_norm_pred","vol","stoch","cond"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","7.5031","0.0676","10.6108","H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","7.5799","0.0677","10.7194","H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","8.4438","4.3526","11.1198","H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","8.5355","4.4689","11.2133","H","H","HVHS"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","11.6319","11.6813","11.5823","H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","4.394","0.0675","6.2138","H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","4.5289","0.0633","6.4045","H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","5.7942","4.271","6.9932","H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","5.8991","4.1465","7.2391","H","L","HVLS"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","9.7556","9.6464","9.8636","H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","7.4489","0.0709","10.5341","L","H","LVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","7.5227","0.0707","10.6385","L","H","LVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","8.7252","4.8332","11.3533","L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","8.7623","5.0504","11.316","L","H","LVHS"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","13.1349","12.9701","13.2976","L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","4.7518","0.071","6.7197","L","L","LVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","5.0437","0.0701","7.1325","L","L","LVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","5.9568","3.4829","7.6705","L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","6.1125","3.8613","7.734","L","L","LVLS"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","11.8218","11.8449","11.7986","L","L","LVLS"
