"model_name_paper","cond_name","tmp_par","tmp_par_latex","ess_bulk_val","ess_tail_val"
"eRL","HVHS","alpha","$\alpha","58.166","47.491"
"eRL","HVHS","cs","$C","90.5","79.142"
"eRL","HVHS","E0","$E^0","54.655","137.729"
"eRL","HVHS","eta","$\xi","31.233","47.726"
"eRL","HVHS","gam","$\gamma","39.509","49.335"
"eRL","HVLS","alpha","$\alpha","86.32","60.849"
"eRL","HVLS","cs","$C","235.396","373.736"
"eRL","HVLS","E0","$E^0","43.489","109.903"
"eRL","HVLS","eta","$\xi","30.471","36.664"
"eRL","HVLS","gam","$\gamma","42.125","55.178"
"eRL","LVHS","alpha","$\alpha","43.312","40.66"
"eRL","LVHS","cs","$C","248.885","434.44"
"eRL","LVHS","E0","$E^0","49.006","85.409"
"eRL","LVHS","eta","$\xi","29.68","34.909"
"eRL","LVHS","gam","$\gamma","45.37","52.755"
"eRL","LVLS","alpha","$\alpha","57.116","40.932"
"eRL","LVLS","cs","$C","162.472","129.413"
"eRL","LVLS","E0","$E^0","43.707","117.295"
"eRL","LVLS","eta","$\xi","29.632","34.486"
"eRL","LVLS","gam","$\gamma","65.497","151.548"
"RL","HVHS","alpha","$\alpha","56.22","36.057"
"RL","HVHS","cs","$C","99.642","52.599"
"RL","HVHS","E0","$E^0","126.757","467.373"
"RL","HVHS","eta","$\xi","31.322","36.92"
"RL","HVLS","alpha","$\alpha","49.221","40.877"
"RL","HVLS","cs","$C","328.761","455.542"
"RL","HVLS","E0","$E^0","63.341","111.689"
"RL","HVLS","eta","$\xi","30.304","38.063"
"RL","LVHS","alpha","$\alpha","39.911","35.351"
"RL","LVHS","cs","$C","433.949","435.575"
"RL","LVHS","E0","$E^0","181.442","618.317"
"RL","LVHS","eta","$\xi","29.527","36.192"
"RL","LVLS","alpha","$\alpha","45.892","37.244"
"RL","LVLS","cs","$C","158.681","98.898"
"RL","LVLS","E0","$E^0","80.406","441.719"
"RL","LVLS","eta","$\xi","29.558","35.077"
"eKF","HVHS","cs","C","89.281","83.274"
"eKF","HVHS","E0","$E^0","37.723","103.977"
"eKF","HVHS","eps","$\epsilon","94.203","429.332"
"eKF","HVHS","eta","$v","53.099","41.511"
"eKF","HVHS","psi","$s","1665.566","4593.161"
"eKF","HVHS","w0","$w^0","616458.467","467603.626"
"eKF","HVHS","xi","$\xi","31.322","47.1"
"eKF","HVLS","cs","C","227.813","363.944"
"eKF","HVLS","E0","$E^0","33.393","104.395"
"eKF","HVLS","eps","$\epsilon","376.691","1218.299"
"eKF","HVLS","eta","$v","45.861","37.486"
"eKF","HVLS","psi","$s","99526.69","148393.383"
"eKF","HVLS","w0","$w^0","567627.288","634817.458"
"eKF","HVLS","xi","$\xi","30.438","36.66"
"eKF","LVHS","cs","C","248.848","418.003"
"eKF","LVHS","E0","$E^0","35.363","51.728"
"eKF","LVHS","eps","$\epsilon","1272.838","2427.211"
"eKF","LVHS","eta","$v","41.144","40.915"
"eKF","LVHS","psi","$s","2399.657","6854.212"
"eKF","LVHS","w0","$w^0","612283.163","531588.25"
"eKF","LVHS","xi","$\xi","29.699","34.762"
"eKF","LVLS","cs","C","149.16","126.209"
"eKF","LVLS","E0","$E^0","38.88","73.732"
"eKF","LVLS","eps","$\epsilon","653.635","1473.554"
"eKF","LVLS","eta","$v","48.883","43.445"
"eKF","LVLS","psi","$s","2263.547","9318.066"
"eKF","LVLS","w0","$w^0","635517.969","313426.188"
"eKF","LVLS","xi","$\xi","29.699","34.721"
"KF","HVHS","cs","C","101.584","55.345"
"KF","HVHS","E0","$E^0","122.76","512.134"
"KF","HVHS","eta","$v","114.644","54.015"
"KF","HVHS","psi","$s","438.028","730.579"
"KF","HVHS","w0","$w^0","904.643","6759.804"
"KF","HVHS","xi","$\xi","31.457","36.763"
"KF","HVLS","cs","C","328.005","448.632"
"KF","HVLS","E0","$E^0","57.467","124.471"
"KF","HVLS","eta","$v","293.426","480.255"
"KF","HVLS","psi","$s","164.454","598.211"
"KF","HVLS","w0","$w^0","412979.973","354163.251"
"KF","HVLS","xi","$\xi","30.16","38.105"
"KF","LVHS","cs","C","423.339","417.747"
"KF","LVHS","E0","$E^0","88.749","302.863"
"KF","LVHS","eta","$v","58.795","47.015"
"KF","LVHS","psi","$s","206.969","672.666"
"KF","LVHS","w0","$w^0","499152.469","573964.793"
"KF","LVHS","xi","$\xi","29.511","36.341"
"KF","LVLS","cs","C","158.729","105.929"
"KF","LVLS","E0","$E^0","71.438","457.431"
"KF","LVLS","eta","$v","91.988","69.957"
"KF","LVLS","psi","$s","287.835","895.249"
"KF","LVLS","w0","$w^0","527620.655","587092.529"
"KF","LVLS","xi","$\xi","29.527","35.147"
"Random","HVHS","C","$R","27.939","33.982"
"Random","HVHS","cs","$C","397.862","259.967"
"Random","HVHS","eta","$\xi","32.334","41.271"
"Random","HVLS","C","$R","28.397","32.922"
"Random","HVLS","cs","$C","1794.614","1170.459"
"Random","HVLS","eta","$\xi","30.204","34.896"
"Random","LVHS","C","$R","27.892","32.919"
"Random","LVHS","cs","$C","269.239","106.139"
"Random","LVHS","eta","$\xi","29.69","44.38"
"Random","LVLS","C","$R","28.474","38.123"
"Random","LVLS","cs","$C","2426.581","1279.66"
"Random","LVLS","eta","$\xi","29.532","34.731"
