"model_name_paper","cond_name","low_bfmi","div_num","bfmi_vec"
"eRL","HVHS","0","0","0.696 0.713 0.695 0.691"
"eRL","HVLS","0","0","0.689 0.76 0.69 0.689"
"eRL","LVHS","0","0","0.73 0.732 0.728 0.702"
"eRL","LVLS","0","0","0.764 0.762 0.75 0.764"
"RL","HVHS","0","0","0.76 0.748 0.771 0.806"
"RL","HVLS","0","0","0.624 0.688 0.688 0.685"
"RL","LVHS","0","0","0.719 0.714 0.742 0.7"
"RL","LVLS","0","0","0.714 0.764 0.719 0.697"
"eKF","HVHS","0","0","0.755 0.767 0.771 0.759"
"eKF","HVLS","0","0","0.741 0.764 0.753 0.779"
"eKF","LVHS","0","0","0.753 0.755 0.792 0.766"
"eKF","LVLS","0","0","0.783 0.751 0.772 0.77"
"KF","HVHS","0","0","0.633 0.596 0.547 0.563"
"KF","HVLS","0","0","0.654 0.734 0.689 0.674"
"KF","LVHS","0","0","0.75 0.768 0.729 0.754"
"KF","LVLS","0","0","0.705 0.695 0.702 0.726"
"Random","HVHS","0","0","0.842 0.851 0.843 0.835"
"Random","HVLS","0","0","0.883 0.779 0.836 0.833"
"Random","LVHS","0","0","0.864 0.849 0.883 0.845"
"Random","LVLS","0","0","0.835 0.829 0.852 0.847"
