"parameter","mean","sd","pt","group","model"
"alpha",0.091,0.069,2,"All","eRL"
"cs",0.101,0.071,2,"All","eRL"
"E0",0.083,0.057,2,"All","eRL"
"eta",0.003,0.003,2,"All","eRL"
"gam",0.036,0.033,2,"All","eRL"
"alpha",0.082,0.047,3,"All","eRL"
"cs",0.127,0.069,3,"All","eRL"
"E0",0.079,0.031,3,"All","eRL"
"eta",0.003,0.002,3,"All","eRL"
"gam",0.043,0.033,3,"All","eRL"
"alpha",0.105,0.045,4,"All","eRL"
"cs",0.121,0.046,4,"All","eRL"
"E0",0.084,0.031,4,"All","eRL"
"eta",0.004,0.003,4,"All","eRL"
"gam",0.047,0.027,4,"All","eRL"
"alpha",0.105,0.038,5,"All","eRL"
"cs",0.125,0.046,5,"All","eRL"
"E0",0.089,0.029,5,"All","eRL"
"eta",0.004,0.003,5,"All","eRL"
"gam",0.044,0.023,5,"All","eRL"
"alpha",0.109,0.035,6,"All","eRL"
"cs",0.129,0.041,6,"All","eRL"
"E0",0.087,0.027,6,"All","eRL"
"eta",0.004,0.002,6,"All","eRL"
"gam",0.045,0.021,6,"All","eRL"
"alpha",0.107,0.031,7,"All","eRL"
"cs",0.127,0.037,7,"All","eRL"
"E0",0.091,0.024,7,"All","eRL"
"eta",0.004,0.002,7,"All","eRL"
"gam",0.047,0.019,7,"All","eRL"
"alpha",0.108,0.029,8,"All","eRL"
"cs",0.126,0.035,8,"All","eRL"
"E0",0.089,0.023,8,"All","eRL"
"eta",0.004,0.002,8,"All","eRL"
"gam",0.046,0.018,8,"All","eRL"
"alpha",0.11,0.027,9,"All","eRL"
"cs",0.133,0.032,9,"All","eRL"
"E0",0.09,0.022,9,"All","eRL"
"eta",0.004,0.002,9,"All","eRL"
"gam",0.047,0.017,9,"All","eRL"
"alpha",0.111,0.026,10,"All","eRL"
"cs",0.127,0.029,10,"All","eRL"
"E0",0.091,0.02,10,"All","eRL"
"eta",0.004,0.002,10,"All","eRL"
"gam",0.046,0.016,10,"All","eRL"
"alpha",0.113,0.025,11,"All","eRL"
"cs",0.13,0.03,11,"All","eRL"
"E0",0.093,0.019,11,"All","eRL"
"eta",0.004,0.002,11,"All","eRL"
"gam",0.045,0.015,11,"All","eRL"
"alpha",0.111,0.023,12,"All","eRL"
"cs",0.128,0.026,12,"All","eRL"
"E0",0.092,0.017,12,"All","eRL"
"eta",0.004,0.002,12,"All","eRL"
"gam",0.046,0.014,12,"All","eRL"
"alpha",0.112,0.022,13,"All","eRL"
"cs",0.128,0.025,13,"All","eRL"
"E0",0.093,0.016,13,"All","eRL"
"eta",0.005,0.002,13,"All","eRL"
"gam",0.048,0.013,13,"All","eRL"
"alpha",0.106,0.021,14,"All","eRL"
"cs",0.126,0.024,14,"All","eRL"
"E0",0.091,0.016,14,"All","eRL"
"eta",0.005,0.002,14,"All","eRL"
"gam",0.046,0.012,14,"All","eRL"
"alpha",0.112,0.018,15,"All","eRL"
"cs",0.127,0.023,15,"All","eRL"
"E0",0.093,0.015,15,"All","eRL"
"eta",0.004,0.001,15,"All","eRL"
"gam",0.047,0.013,15,"All","eRL"
"alpha",0.112,0.019,16,"All","eRL"
"cs",0.13,0.023,16,"All","eRL"
"E0",0.091,0.015,16,"All","eRL"
"eta",0.005,0.001,16,"All","eRL"
"gam",0.049,0.013,16,"All","eRL"
"alpha",0.109,0.018,17,"All","eRL"
"cs",0.133,0.02,17,"All","eRL"
"E0",0.089,0.016,17,"All","eRL"
"eta",0.005,0.001,17,"All","eRL"
"gam",0.051,0.014,17,"All","eRL"
"alpha",0.109,0.019,18,"All","eRL"
"cs",0.13,0.021,18,"All","eRL"
"E0",0.093,0.014,18,"All","eRL"
"eta",0.004,0.001,18,"All","eRL"
"gam",0.048,0.012,18,"All","eRL"
"alpha",0.114,0.017,19,"All","eRL"
"cs",0.128,0.02,19,"All","eRL"
"E0",0.094,0.013,19,"All","eRL"
"eta",0.005,0.001,19,"All","eRL"
"gam",0.049,0.012,19,"All","eRL"
"alpha",0.112,0.016,20,"All","eRL"
"cs",0.13,0.019,20,"All","eRL"
"E0",0.092,0.011,20,"All","eRL"
"eta",0.005,0.001,20,"All","eRL"
"gam",0.048,0.011,20,"All","eRL"
